t,x1,x2
4940,-1.17954076591643E-09,5.50859500775229E-10
4950,-1.13945982700269E-09,5.34719422134134E-10
4960,-1.10074805048536E-09,5.19036812122855E-10
4970,-1.06335840343754E-09,5.03799356095928E-10
4980,-1.02724547809386E-09,4.88995042459776E-10
4990,-9.92365435352684E-10,4.74612156522391E-10
5000,-9.58675950254891E-10,4.60639274402089E-10
5010,-9.26136159369287E-10,4.47065256998797E-10
5020,-8.94706610017791E-10,4.33879244030976E-10
5030,-8.6434921127554E-10,4.21070648141026E-10
5040,-8.35027186683515E-10,4.08629149071701E-10
5050,-8.06705028613453E-10,3.96544687915828E-10
5060,-7.79348454226944E-10,3.84807461441355E-10
5070,-7.52924362972677E-10,3.73407916493532E-10
5080,-7.27400795567776E-10,3.62336744475798E-10
5090,-7.02746894411072E-10,3.5158487591075E-10
5100,-6.78932865378017E-10,3.41143475082363E-10
5110,-6.55929940948711E-10,3.31003934760474E-10
5120,-6.3371034462223E-10,3.21157871008328E-10
5130,-6.12247256572103E-10,3.11597118073877E-10
5140,-5.91514780499378E-10,3.02313723365328E-10
5150,-5.71487911641245E-10,2.93299942511322E-10
5160,-5.52142505894701E-10,2.8454823450599E-10
5170,-5.33455250016116E-10,2.76051256939001E-10
5180,-5.15403632859005E-10,2.67801861310623E-10
5190,-4.97965917613592E-10,2.59793088431683E-10
5200,-4.81121115013059E-10,2.52018163908242E-10
5210,-4.64848957472608E-10,2.44470493710702E-10
5220,-4.49129874128658E-10,2.37143659826957E-10
5230,-4.33944966746642E-10,2.30031415999155E-10
5240,-4.19275986467004E-10,2.23127683543542E-10
5250,-4.05105311360032E-10,2.16426547252796E-10
5260,-3.91415924761241E-10,2.0992225138021E-10
5270,-3.78191394359966E-10,2.03609195705015E-10
5280,-3.65415852014837E-10,1.97481931678072E-10
5290,-3.53073974270703E-10,1.91535158647159E-10
5300,-3.41150963552468E-10,1.85763720160972E-10
5310,-3.29632530012196E-10,1.80162600350974E-10
5320,-3.18504874006624E-10,1.74726920390173E-10
5330,-3.07754669183079E-10,1.69451935027867E-10
5340,-2.97369046152524E-10,1.64333029199375E-10
5350,-2.87335576729239E-10,1.59365714709764E-10
5360,-2.7764225871734E-10,1.5454562699053E-10
5370,-2.68277501225054E-10,1.49868521928195E-10
5380,-2.59230110488315E-10,1.45330272763752E-10
5390,-2.50489276185929E-10,1.40926867061895E-10
5400,-2.4204455822913E-10,1.36654403748922E-10
5410,-2.33885874009005E-10,1.32509090218244E-10
5420,-2.26003486085805E-10,1.28487239502367E-10
5430,-2.18387990304744E-10,1.24585267510252E-10
